neighborhood,1st most appear category,2nd most appear category,3rd most appear category,4th most appear category,5th most appear category,borough,Acehnese Restaurant,American Restaurant,Arepa Restaurant,Argentinian Restaurant,Asian Restaurant,Australian Restaurant,BBQ Joint,Balinese Restaurant,Betawinese Restaurant,Bistro,Brazilian Restaurant,Buffet,Burger Joint,Burrito Place,Café,Cantonese Restaurant,Chinese Restaurant,Coffee Shop,Dim Sum Restaurant,Diner,Dumpling Restaurant,Eastern European Restaurant,Fast Food Restaurant,Fish & Chips Shop,Food Court,Food Truck,French Restaurant,Fried Chicken Joint,Grocery Store,Halal Restaurant,Hookah Bar,Indian Restaurant,Indonesian Meatball Place,Indonesian Restaurant,Italian Restaurant,Japanese Restaurant,Javanese Restaurant,Kebab Restaurant,Korean Restaurant,Lounge,Malay Restaurant,Manadonese Restaurant,Mexican Restaurant,Middle Eastern Restaurant,Modern European Restaurant,New American Restaurant,Noodle House,Padangnese Restaurant,Paella Restaurant,Pizza Place,Ramen Restaurant,Salad Place,Satay Restaurant,Seafood Restaurant,Shabu-Shabu Restaurant,Snack Place,Soba Restaurant,Soup Place,Spanish Restaurant,Steakhouse,Sundanese Restaurant,Sushi Restaurant,Tapas Restaurant,Thai Restaurant,Udon Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Wine Bar,cluster,Borough,Neighborhood_Latitude,Neighborhood_Longitude,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
CENGKARENG,Noodle House,Chinese Restaurant,Italian Restaurant,American Restaurant,Sushi Restaurant,KOTA ADMINISTRASI JAKARTA BARAT,0.0,0.04081632653061224,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.22448979591836735,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.3673469387755102,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0,KOTA ADMINISTRASI JAKARTA BARAT,-6.154879438023701,106.73797413991,nasi goreng indah sari,-6.161969164549133,106.73801423139048,Javanese Restaurant
CENGKARENG,Noodle House,Chinese Restaurant,Italian Restaurant,American Restaurant,Sushi Restaurant,KOTA ADMINISTRASI JAKARTA BARAT,0.0,0.04081632653061224,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.22448979591836735,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.3673469387755102,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0,KOTA ADMINISTRASI JAKARTA BARAT,-6.154879438023701,106.73797413991,Bakmi Alot Tamansari,-6.133889,106.733874,Noodle House
CENGKARENG,Noodle House,Chinese Restaurant,Italian Restaurant,American Restaurant,Sushi Restaurant,KOTA ADMINISTRASI JAKARTA BARAT,0.0,0.04081632653061224,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.22448979591836735,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.3673469387755102,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0,KOTA ADMINISTRASI JAKARTA BARAT,-6.154879438023701,106.73797413991,Bakmi pejagalan AMI,-6.128617398037339,106.75401332375436,Noodle House
CENGKARENG,Noodle House,Chinese Restaurant,Italian Restaurant,American Restaurant,Sushi Restaurant,KOTA ADMINISTRASI JAKARTA BARAT,0.0,0.04081632653061224,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.22448979591836735,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.3673469387755102,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0,KOTA ADMINISTRASI JAKARTA BARAT,-6.154879438023701,106.73797413991,Genki Sushi,-6.1872768306602834,106.73953451777399,Sushi Restaurant
CENGKARENG,Noodle House,Chinese Restaurant,Italian Restaurant,American Restaurant,Sushi Restaurant,KOTA ADMINISTRASI JAKARTA BARAT,0.0,0.04081632653061224,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.22448979591836735,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.3673469387755102,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0,KOTA ADMINISTRASI JAKARTA BARAT,-6.154879438023701,106.73797413991,Gandy Steak House,-6.165815281423331,106.76301918999077,Steakhouse
CENGKARENG,Noodle House,Chinese Restaurant,Italian Restaurant,American Restaurant,Sushi Restaurant,KOTA ADMINISTRASI JAKARTA BARAT,0.0,0.04081632653061224,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.22448979591836735,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.3673469387755102,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0,KOTA ADMINISTRASI JAKARTA BARAT,-6.154879438023701,106.73797413991,Bakmi Ayam Bangka Yungli 48,-6.1712838082510375,106.7463855478169,Noodle House
CENGKARENG,Noodle House,Chinese Restaurant,Italian Restaurant,American Restaurant,Sushi Restaurant,KOTA ADMINISTRASI JAKARTA BARAT,0.0,0.04081632653061224,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.22448979591836735,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.3673469387755102,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0,KOTA ADMINISTRASI JAKARTA BARAT,-6.154879438023701,106.73797413991,Bakmie Aloi,-6.139565258362444,106.72670137894474,Noodle House
CENGKARENG,Noodle House,Chinese Restaurant,Italian Restaurant,American Restaurant,Sushi Restaurant,KOTA ADMINISTRASI JAKARTA BARAT,0.0,0.04081632653061224,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.22448979591836735,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.3673469387755102,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0,KOTA ADMINISTRASI JAKARTA BARAT,-6.154879438023701,106.73797413991,Food Court Miami City Resort,-6.1365916150879904,106.73214009479015,Food Court
CENGKARENG,Noodle House,Chinese Restaurant,Italian Restaurant,American Restaurant,Sushi Restaurant,KOTA ADMINISTRASI JAKARTA BARAT,0.0,0.04081632653061224,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.22448979591836735,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.3673469387755102,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0,KOTA ADMINISTRASI JAKARTA BARAT,-6.154879438023701,106.73797413991,Nasi Campur Bun Hiang,-6.135125327255778,106.72044145242073,Chinese Restaurant
CENGKARENG,Noodle House,Chinese Restaurant,Italian Restaurant,American Restaurant,Sushi Restaurant,KOTA ADMINISTRASI JAKARTA BARAT,0.0,0.04081632653061224,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.22448979591836735,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.3673469387755102,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0,KOTA ADMINISTRASI JAKARTA BARAT,-6.154879438023701,106.73797413991,Bakmi Kadut Taman Palem,-6.136075266349344,106.72120230361237,Noodle House
